Sum of active_region,Year,Quarter,Month,Day,class_type,Year,Quarter,Month,Day,Sum of day,Year,Quarter,Month,Day,event_id,event_type,Sum of hour,instruments,Sum of month,note,Year,Quarter,Month,Day,source_location,Sum of year
13372,2023,Qtr 3,July,11,M1.0,2023,Qtr 3,July,11,11,2023,Qtr 3,July,11,2023-07-11T16:25:00-Flr-001,Solar Flare,16,GOES-P: EXIS 1.0-8.0,7,No Note,2023,Qtr 3,July,11,N25E89,2023
13372,2023,Qtr 3,July,11,M1.1,2023,Qtr 3,July,11,11,2023,Qtr 3,July,11,2023-07-11T16:02:00-Flr-001,Solar Flare,16,GOES-P: EXIS 1.0-8.0,7,No Note,2023,Qtr 3,July,11,N25E89,2023
13379,2023,Qtr 3,July,11,M2.0,2023,Qtr 3,July,11,11,2023,Qtr 3,July,11,2023-07-11T14:19:00-Flr-001,Solar Flare,14,GOES-P: EXIS 1.0-8.0,7,No Note,2023,Qtr 3,July,11,N25E90,2023
13372,2023,Qtr 3,July,11,M6.8,2023,Qtr 3,July,11,11,2023,Qtr 3,July,11,2023-07-11T17:51:00-Flr-001,Solar Flare,17,GOES-P: EXIS 1.0-8.0,7,No Note,2023,Qtr 3,July,11,N25E88,2023
13372,2023,Qtr 3,July,12,M1.0,2023,Qtr 3,July,11,11,2023,Qtr 3,July,12,2023-07-11T19:20:00-Flr-001,Solar Flare,19,GOES-P: EXIS 1.0-8.0,7,Simultaneous Brightening South Of Ar3363.,2023,Qtr 3,July,12,N25E88,2023
13368,2023,Qtr 3,July,12,M1.2,2023,Qtr 3,July,11,11,2023,Qtr 3,July,12,2023-07-11T23:34:00-Flr-001,Solar Flare,23,GOES-P: EXIS 1.0-8.0,7,No Note,2023,Qtr 3,July,12,S19W59,2023
13372,2023,Qtr 3,July,12,M1.3,2023,Qtr 3,July,12,12,2023,Qtr 3,July,12,2023-07-12T04:31:00-Flr-001,Solar Flare,4,GOES-P: EXIS 1.0-8.0,7,No Note,2023,Qtr 3,July,12,N25E88,2023
13361,2023,Qtr 3,July,12,M1.3,2023,Qtr 3,July,12,12,2023,Qtr 3,July,12,2023-07-12T05:10:00-Flr-001,Solar Flare,5,GOES-P: EXIS 1.0-8.0,7,No Note,2023,Qtr 3,July,12,N25W54,2023
13366,2023,Qtr 3,July,12,M1.4,2023,Qtr 3,July,12,12,2023,Qtr 3,July,12,2023-07-12T00:21:00-Flr-001,Solar Flare,0,GOES-P: EXIS 1.0-8.0,7,No Note,2023,Qtr 3,July,12,S11W67,2023
13372,2023,Qtr 3,July,12,M5.8,2023,Qtr 3,July,11,11,2023,Qtr 3,July,12,2023-07-11T22:04:00-Flr-001,Solar Flare,22,GOES-P: EXIS 1.0-8.0,7,No Note,2023,Qtr 3,July,12,N26E88,2023
13372,2023,Qtr 3,July,12,M6.9,2023,Qtr 3,July,12,12,2023,Qtr 3,July,12,2023-07-12T08:49:00-Flr-001,Solar Flare,8,GOES-P: EXIS 1.0-8.0,7,No Note,2023,Qtr 3,July,12,N26E86,2023
