Sum of Budget,CollaboratingCountries,Country,Sum of DurationDays,EnvironmentalImpact,Year,Quarter,Month,Day,Sum of LaunchMonth,LaunchSite,Sum of LaunchYear,MissionName,MissionType,Sum of QuarterOfYear,SatelliteType,Sum of SuccessRate,TechnologyUsed
$48.7M,China,China,11,High,1905,Qtr 2,June,30,6,South Kathrynberg,1905,Self-Enabling Homogeneous Matrix,Unmanned,2,Weather,88,Traditional Rocket
$36.9M,China,China,66,Low,1905,Qtr 2,June,22,6,South Sonya,1905,Reverse-Engineered 24Hour Frame,Unmanned,2,Communication,100,Solar Propulsion
$22.8M,China,China,145,Low,1905,Qtr 2,June,25,6,North Kellyfurt,1905,Customer-Focused 24/7 Standardization,Manned,2,Navigation,67,Solar Propulsion
$11.9M,China,China,282,Low,1905,Qtr 3,July,4,7,Lake Megan,1905,Re-Engineered Fresh-Thinking Middleware,Unmanned,3,Research,80,Ai Navigation
$12.2M,China,China,265,Medium,1905,Qtr 2,June,24,6,Mariabury,1905,Triple-Buffered Actuating Firmware,Manned,2,Navigation,56,Traditional Rocket
$16.6M,China,China,31,Medium,1905,Qtr 3,July,3,7,Marilynside,1905,De-Engineered Next Generation Access,Manned,3,Spy,56,Nuclear Propulsion
$21.8M,China,France,1,High,1905,Qtr 2,June,28,6,Port Biancamouth,1905,Synchronized Interactive Architecture,Unmanned,2,Research,61,Reusable Rocket
$49.7M,China,France,336,High,1905,Qtr 2,June,29,6,Tanyaview,1905,Virtual Tangible Implementation,Unmanned,2,Weather,73,Traditional Rocket
$31.9M,China,France,332,High,1905,Qtr 3,July,10,7,Brockchester,1905,Front-Line System-Worthy Process Improvement,Manned,3,Research,90,Traditional Rocket
$36.1M,China,France,94,High,1905,Qtr 3,July,14,7,Masonburgh,1905,Synergized Multi-State Process Improvement,Manned,3,Research,99,Nuclear Propulsion
$30.6M,China,France,69,Low,1905,Qtr 3,July,6,7,South Taylorton,1905,Customizable Empowering Policy,Manned,3,Spy,62,Solar Propulsion
$8.6M,China,France,291,Low,1905,Qtr 3,July,9,7,Brianchester,1905,Exclusive Exuding Adapter,Manned,3,Spy,80,Reusable Rocket
$29.4M,China,France,97,Low,1905,Qtr 3,July,9,7,New Justin,1905,Self-Enabling Human-Resource Interface,Manned,3,Communication,76,Reusable Rocket
$21.1M,China,France,74,Low,1905,Qtr 3,July,11,7,South Ryan,1905,Customizable Context-Sensitive Encryption,Unmanned,3,Communication,61,Ai Navigation
$6.5M,China,France,32,Low,1905,Qtr 3,July,12,7,East Laurenburgh,1905,Implemented Dynamic Knowledge User,Unmanned,3,Research,56,Nuclear Propulsion
$41.4M,China,Germany,344,High,1905,Qtr 3,July,13,7,Port Brittany,1905,Open-Architected National Software,Manned,3,Communication,87,Nuclear Propulsion
$46.4M,China,Germany,68,Medium,1905,Qtr 2,June,22,6,Port Christinaton,1905,Team-Oriented Explicit Application,Manned,2,Communication,73,Solar Propulsion
$12.7M,China,Germany,217,Medium,1905,Qtr 2,June,30,6,Tracymouth,1905,Networked Non-Volatile Groupware,Unmanned,2,Weather,95,Ai Navigation
$18.6M,China,Germany,216,Medium,1905,Qtr 3,July,1,7,Andersonchester,1905,Quality-Focused Incremental Hierarchy,Manned,3,Weather,96,Traditional Rocket
$35.2M,China,Germany,355,Medium,1905,Qtr 3,July,3,7,Benjaminfort,1905,Object-Based Static Projection,Manned,3,Research,93,Reusable Rocket
$12.2M,China,Germany,315,Medium,1905,Qtr 3,July,10,7,Carlosview,1905,Innovative 4Thgeneration Archive,Manned,3,Spy,53,Solar Propulsion
$3.3M,China,India,172,High,1905,Qtr 2,June,22,6,Davisside,1905,De-Engineered System-Worthy Throughput,Manned,2,Navigation,63,Reusable Rocket
$20.6M,China,India,307,High,1905,Qtr 3,July,14,7,West Josephmouth,1905,Cross-Platform Homogeneous Info-Mediaries,Unmanned,3,Navigation,66,Traditional Rocket
